protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level,Log2-normalized_ratio_protein_level_Gly_plus0_Pro,Log2-normalized_ratio_protein_level_Gly_plus1_Pro,Log2-normalized_ratio_protein_level_Gly_plus2_Pro
P04147,1.05,2.36,4.58,"[154009.1, 345509.1, 669291.9]",1168810.1,0.07 ,1.24 ,2.20 
P38766,1.08,3.93,2.99,"[36458.0, 132275.0, 100783.5]",269516.5,0.11 ,1.97 ,1.58 
P19882,1.03,2.15,4.82,"[179834.5, 374820.4, 840260.5]",1394915.4,0.04 ,1.10 ,2.27 
P38249,1.07,2.21,4.72,"[81467.7, 168481.3, 359354.9]",609303.9,0.10 ,1.14 ,2.24 
P22146,0.79,1.89,5.32,"[3037.7, 7292.7, 20497.4]",30827.8,-0.34 ,0.92 ,2.41 
Q03210,0.7,2.49,4.8,"[6747.6, 23891.1, 46000.9]",76639.6,-0.51 ,1.32 ,2.26 
P07149,1.13,1.09,5.78,"[2966.5, 2866.7, 15198.4]",21031.6,0.18 ,0.12 ,2.53 
"P05030, P19657",0.94,1.88,5.18,"[41979.9, 84214.8, 232232.9]",358427.6,-0.09 ,0.91 ,2.37 
P23639,1.02,1.75,5.22,"[5584.2, 9591.6, 28563.5]",43739.3,0.03 ,0.81 ,2.38 
P39726,0.65,2.2,5.14,"[5730.6, 19286.4, 44993.3]",70010.3,-0.62 ,1.14 ,2.36 
"P00358, P00359",1.24,2.28,4.48,"[281514.3, 518328.3, 1019761.7]",1819604.3,0.31 ,1.19 ,2.16 
P09880,0.5,1.01,6.49,"[9119.6, 18609.9, 119251.2]",146980.7,-1.00 ,0.01 ,2.70 
P22943,1.11,1.98,4.91,"[155981.8, 277413.6, 688234.6]",1121630,0.15 ,0.99 ,2.30 
P04821,1.87,3.98,2.15,"[51604.9, 109728.4, 59441.7]",220775,0.90 ,1.99 ,1.10 
P06105,1.05,2.32,4.62,"[44021.6, 97240.5, 193474.4]",334736.5,0.07 ,1.21 ,2.21 
Q08723,0.99,1.96,5.05,"[34094.2, 67449.9, 174150.1]",275694.2,-0.01 ,0.97 ,2.34 
P25038,0.8,1.99,5.21,"[7113.9, 17586.3, 46024.3]",70724.5,-0.32 ,0.99 ,2.38 
P53959,0.73,2.7,4.57,"[60933.6, 224714.2, 380094.1]",665741.9,-0.45 ,1.43 ,2.19 
P32324,0.97,2.13,4.89,"[839091.7, 1837324.4, 4213528.8]",6889944.9,-0.04 ,1.09 ,2.29 
P07285,1.36,2.29,4.36,"[10437.6, 17622.3, 33543.1]",61603,0.44 ,1.20 ,2.12 
P38990,1.88,3.75,2.37,"[57088.1, 113797.6, 72085.9]",242971.6,0.91 ,1.91 ,1.24 
Q01476,0.76,4.58,2.66,"[2544.4, 15298.9, 8885.0]",26728.3,-0.40 ,2.20 ,1.41 
P38968,0.85,1.77,5.38,"[12933.3, 26784.3, 81351.6]",121069.2,-0.23 ,0.82 ,2.43 
P16387,0.95,2.14,4.91,"[44549.4, 101088.9, 231453.0]",377091.3,-0.07 ,1.10 ,2.30 
P15705,1.12,2.25,4.63,"[147554.9, 295101.4, 608799.4]",1051455.7,0.16 ,1.17 ,2.21 
P48164,0.87,2.18,4.95,"[197140.7, 493114.8, 1122998.9]",1813254.4,-0.20 ,1.12 ,2.31 
Q12460,1.31,2.46,4.23,"[15153.3, 28564.7, 49020.5]",92738.5,0.39 ,1.30 ,2.08 
Q12291,1.24,2.11,4.65,"[62141.6, 105904.1, 233051.0]",401096.7,0.31 ,1.08 ,2.22 
P00812,1.02,2.57,4.4,"[47481.0, 119501.4, 204521.0]",371503.4,0.03 ,1.36 ,2.14 
P05756,1.11,1.96,4.93,"[7471.1, 13200.0, 33195.9]",53867,0.15 ,0.97 ,2.30 
"P48570, Q12122",0.99,2.18,4.83,"[3490.4, 7657.1, 16947.1]",28094.6,-0.01 ,1.12 ,2.27 
Q03002,1.04,2.59,4.37,"[48197.4, 119995.7, 202553.4]",370746.5,0.06 ,1.37 ,2.13 
"P32835, P32836",1.14,2.21,4.65,"[39432.3, 76626.9, 161058.6]",277117.8,0.19 ,1.14 ,2.22 
"P0CX31, P0CX32",0.96,1.68,5.36,"[31801.9, 56076.0, 178424.7]",266302.6,-0.06 ,0.75 ,2.42 
P53885,0.72,2.5,4.78,"[2004.7, 6906.0, 13232.1]",22142.8,-0.47 ,1.32 ,2.26 
P46675,0.89,2.33,4.78,"[35874.8, 94037.0, 193141.2]",323053,-0.17 ,1.22 ,2.26 
P38701,1.08,2,4.92,"[218144.2, 402736.0, 990650.9]",1611531.1,0.11 ,1.00 ,2.30 
P33333,0.89,2.14,4.97,"[19808.2, 47819.9, 110778.0]",178406.1,-0.17 ,1.10 ,2.31 
P13188,1.07,1.96,4.97,"[36255.3, 66365.1, 167932.6]",270553,0.10 ,0.97 ,2.31 
P39692,0.69,2.34,4.96,"[4924.2, 16658.8, 35278.5]",56861.5,-0.54 ,1.23 ,2.31 
