protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level
P25294,0.79,0.61,1.6,"[3765.3, 2890.6, 7571.9]",14227.8
P25646,0.64,1.3,1.06,"[11764.6, 24091.2, 19596.6]",55452.4
P32891,0.48,1.32,1.2,"[4053.3, 11066.4, 10119.7]",25239.4
P06738,0.86,0.95,1.19,"[19558.5, 21639.0, 27041.7]",68239.2
P23639,1.02,1.17,0.81,"[8597.9, 9851.4, 6863.4]",25312.699999999997
P53622,1.34,0.79,0.87,"[4585.8, 2722.2, 2988.1]",10296.1
P26637,1.0,0.97,1.03,"[14470.2, 14024.5, 14903.0]",43397.7
P04840,1.06,0.95,1.0,"[186169.7, 166889.1, 175572.0]",528630.8
P47075,0.83,1.02,1.14,"[27631.5, 34039.6, 38015.7]",99686.79999999999
P53840,1.07,1.19,0.74,"[24651.4, 27271.8, 16876.9]",68800.1
P41277,1.08,0.96,0.96,"[178975.4, 159402.2, 158479.8]",496857.39999999997
P38804,1.21,0.8,0.99,"[25862.9, 17084.1, 21135.9]",64082.9
P47088,0.81,0.99,1.2,"[6587.4, 8032.3, 9750.1]",24369.800000000003
P10081,0.84,0.98,1.18,"[90105.9, 104667.3, 126149.2]",320922.4
P18239,0.97,1.03,1.0,"[12241.5, 13010.8, 12593.0]",37845.3
"P05740, P46990",1.0,1.31,0.69,"[56656.5, 74424.2, 39019.9]",170100.6
Q07732,0.98,0.88,1.14,"[3187.5, 2876.4, 3691.3]",9755.2
Q03834,0.78,1.33,0.9,"[7225.9, 12339.1, 8358.5]",27923.5
P32263,0.85,1.05,1.1,"[13100.3, 16175.9, 17015.0]",46291.2
P40460,0.83,0.97,1.19,"[18111.3, 21149.7, 25821.1]",65082.1
P38624,1.01,0.83,1.16,"[23449.6, 19325.3, 27120.1]",69895.0
P53163,0.93,1.14,0.93,"[32415.4, 39629.3, 32589.6]",104634.30000000002
P38800,0.59,0.67,1.74,"[3427.9, 3941.1, 10167.9]",17536.9
Q12000,1.05,1.02,0.92,"[3295.5, 3208.7, 2895.6]",9399.8
P38011,0.95,1.06,0.99,"[108510.2, 121909.4, 113318.9]",343738.5
P23542,0.74,1.14,1.11,"[40779.6, 62894.8, 61298.7]",164973.09999999998
P38431,0.88,1.11,1.0,"[48512.5, 61293.7, 55149.3]",164955.5
P25356,0.74,1.73,0.53,"[2638.2, 6180.5, 1894.6]",10713.300000000001
Q03944,0.98,1.1,0.92,"[6018.3, 6728.3, 5674.4]",18421.0
P54790,1.15,1.27,0.58,"[8132.2, 9042.0, 4130.5]",21304.7
P25694,0.9,1.07,1.03,"[113473.6, 133996.6, 128791.8]",376262.0
P53315,0.57,0.82,1.6,"[1915.8, 2748.4, 5345.1]",10009.3
